prompt,source url,query,published_time,modified_time,author,cluster
What comes to mind first when you think of what makes you feel safe?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,1
What are five things about yourself you want people to know?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,5
What’s something that makes you feel warm inside?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,4
"What’s your first coping mechanism that comes to mind? Do you think it’s helpful or harmful, and why?",https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,3
"If you were to improve something about your life, what would that be? Why?",https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,1
Explain what’s hardest for you in as many words as it takes.,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,1
"Write a letter to your younger self, talking about mental health. What would you want to tell them?",https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,0
What do you think is holding you back?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,3
How are you helping yourself when things are hard?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,5
Write a list of 10 things you want to be able to remember during your most difficult times.,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,5
Write a love letter to yourself.,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,0
"Which of the four elements (Earth, Air, Water, Fire) do you identify with? Explain why.",https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,1
Do you allow yourself to feel the emotions you need to feel? Why or why not?,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,4
Describe an outfit that makes you feel entirely comfortable in your skin.,https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,4
"When you worry, what do you tend to worry about most?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
What made you smile today?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,2
"Write a letter of forgiveness to someone who has caused you pain, including yourself.",https://mindfulhealthsolutions.com/20-journaling-prompts-for-mental-health/,mindfulness journaling prompts,2024-06-07,,wadmin,0
"Think about the last time you had a mental spiral. What caused it, and how did you get out of it?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,3
When do you feel most alive?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,4
"When you can't sleep at night, what are you thinking about?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
What activities tend to anchor you in the present moment?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
"Name an activity that makes you feel really, truly happy.",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,4
Close your eyes for three minutes and count your breaths. What thoughts came up while you did this?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
What were you worried about this time last year? Are you still worried about that now?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
What does your best friend or partner feel anxious about? Is it the same things you feel anxious about?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,4
If you moved to a new place — it can be anywhere in the world — do you think you would still experience anxiety? Why or why not?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,3
Write through what would happen if the thing you worry about most often actually came true.,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,0
Write a letter to your younger self. What advice would you give him or her?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,0
How do you feel when you sit quietly for five or ten minutes?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,4
What thoughts do you have that you think serve the least amount of purpose in your life?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
What's your biggest pet peeve?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
"If you could change one thing about your life right now, what would you change?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
"Close your eyes and imagine a peaceful, calm place. Where is that place?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
What practices do you think benefit your overall wellbeing most?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,3
What does your current morning routine look like? How could you change it?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
"What's one practice, place, or person that helps reduce stress in your life?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
Write about something you're looking forward to.,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,0
"Think about your life. How do you feel things are going, overall?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
Where do you hope to be 10 years from now?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
"Do you think there's a ""point"" to meditation? Why or why not?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,3
What goals do you have related to mindfulness and staying present?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
Who do you most admire? Why?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
What does personal growth mean to you?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
"When you actually do get outside your comfort zone, how do you typically feel?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,4
How often do you do things that get you outside your comfort zone?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,5
What can you do differently tomorrow?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
Do you have a hobby? How do you feel when you're engaged with it?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,4
What can you do today that your future self will thank you for?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,0
Do you like your job? How do you typically feel during your workday?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,4
"What's something you resisted today, or in the past week? Why do you think you resisted it?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,3
Do you consider yourself an anxious person? Why or why not?,https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
What would my future self tell me about this worry?,https://medium.com/@denpyl/3-mindful-journal-prompts-to-steady-your-inner-peace-amid-relentless-worry-3f12fb13bc8b,mindfulness journaling prompts,2024-12-01,,Denise Pyles,0
"What is real, and what is imagined?",https://medium.com/@denpyl/3-mindful-journal-prompts-to-steady-your-inner-peace-amid-relentless-worry-3f12fb13bc8b,mindfulness journaling prompts,2024-12-01,,Denise Pyles,1
What are you grateful for?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,1
"What does ""mindful living"" mean to you?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,1
"How do you feel when you sit quietly, without the distraction of technology or TV?",https://www.silkandsonder.com/blogs/news/journaling-prompts-for-mindfulness?srsltid=AfmBOoorLsOxcAHoYA4dQRBUkVItryZGpZxtY7zRV-bmjLjk0ln-yZzG,mindfulness journaling prompts,2023-10-01,2023-10-01,Timesact,4
When do you feel a relief?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,4
Who can help you feel a relief?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,4
What do you think are the biggest challenges for you so far?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,3
What is your happiest moment of life?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,1
What would be the title of your life now? Why?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,1
Who do you trust the most? Why?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,1
Who are the people that you love the most? What are their characteristics?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,1
"If you could add, change or cancel the rule at home. What would it be?",https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,1
What is your scariest moment (real life or fantasy moment..),https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,1
What makes you happy?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,1
When do you feel the happiest?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,4
What makes you feel uncomfortable?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,4
How do you think others see you? Why?,https://playtivities.com/mindful-journal-prompts-for-teens/,mindfulness journaling prompts,2020-03-26,2022-07-15,Judita Pauzuolyte,3
